County Reporting,Date of Interview,Name of Employer,# employees at work place,Size Category          Small(0-50)           Large (50+),# of tobacco users at work place,Does employer hire tobacco users?             --yes or no,"Does employer provide health insurance?  yes or no?  If no, proceed to column Y.",Please select type of insurance coverage:  self-insured or fully-insured,Insurance Carrier,"Please select one employer sector: government, healthcare, or business (including private or non-profit)",Any tobacco cessation coverage?,Patch NRT OTC Covered?                     -- Yes or No,Gum NRT OTC Covered?                      -- Yes or No,Lozenge NRT OTC Covered?                    -- yes or no,Covered OTC only?,Inhaler NRT RX Covered?                    -- yes or no,Nose Spray RX Covered?                    -- yes or no,Bupropion RX  Covered?                   -- yes or no,Varenicline RX Covered?                    -- yes or no,Covered RX only?,Covered both OTC and RX?,Individual Counseling Covered?                   -- yes or no,Phone Counseling Covered?                    -- yes or no,Group Counseling Covered?                      -- yes or no,Web Based Counseling Covered?    -- yes or no,Covered some types of counseling?,Covered all types of counseling?,Covers at least 2 Quit Attempts provided per year                  -- yes or no,Are a combination of both cessation medication and counseling covered?,"Any barriers to coverage, such as counseling before medications or    co-pays?             --yes or no","Extent of TFG Policy Coverage -- 100% SFG, 100% TFG, SFIW, or SFIWO     ",E-cigs included in policy as restricted yes or no,Silver FTCA Medication Criteria Met,Gold FTCA Medication Criteria Met,Baseline SOC      BENEFIT,Baseline SOC           TFG Policy,Baseline SOC            Promote Encourage Provide,BaselineWas a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-1        FY(13-14) SOC      BENEFIT,Q-1        FY(13-14) SOC      TFG Policy,Q-1        FY(13-14) SOC         Promote Encourage Provide,Q-1        Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-2        FY(13-14) SOC      BENEFIT,Q-2        FY(13-14) SOC      TFG Policy,Q-2        FY(13-14) SOC         Promote Encourage Provide,Q-2      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-3        FY(13-14) SOC      BENEFIT,Q-3        FY(13-14) SOC      TFG Policy,Q-3        FY(13-14) SOC         Promote Encourage Provide,Q-3      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-4        FY(13-14) SOC      BENEFIT,Q-4        FY(13-14) SOC      TFG Policy,Q-4        FY(13-14) SOC         Promote Encourage Provide,Q-4      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,"Briefly describe any progress made with this employer from baseline interview.                  (For example, has an employer strengthened a campus policy, instituted a no-hire policy,   increased benefit coverage, or made a decision to do so?  Have you sent this employer emails or information newsletters to maintain regular communication?  Have you spoken by phone or face-fo-face?)","Briefly describe any plans, opportunities or potential strategies to engage this employer in the coming quarter to move them from one stage of change to another."
Brevard,4/20/2012,Brevard County Board of County Commissioners ,2028,2,273,1,1,88,7,6,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,88,1,1,1,1,1,Yes,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,"The County Ma88ger was not interested in any further discussion. Q2 No progress made this quarter. Q3 No attempt was made this quarter. Q. 4 No progress was made this quarter; however, a plan is in place for the new grant year. ","We will carefully offer to assist with organizing an event for the Great American Smokeout; the different cessation resources can be promoted. Q2 An email was sent to invite the County Ma88ger to host a GASO event; however there was no response to participate. We will be sending the newly acquired Tobacco Free Florida Fact Sheet as a tool to get some active communication re-started. Q3 Since the County had begun to develop their own written policy on smoking prior to our contacting them, the newest flyers annoucing upcoming classes will be sent to the County Ma88ger with a note thanking him for the County's support of the Flavored Tobacco Resolution. Q 4. The plan is to try to arrange to meet with the County Ma88ger in Quarter 1 of the new grant year to show him the free quitting tools his employees who smoke could have access to.  "
Brevard,                8/1/2013,Circles of Care Inc.,500,2,25,1,1,2,8,2,1,1,1,77,77,77,77,77,77,77,77,1,1,2,2,1,88,88,1,88,4,88,2,2,2,2,1,Yes,88,88,88,88,2,1,1,No,2,1,1,No,2,1,1,No,"A face to face meeting was held this quarter with the Vice President of Human Resources and the Human Resource Specialist to complete the survey; one follow up meeting has already occurred. Q2 No follow up was made in this quarter due to the contact wanting to see if they have enough interest from staff who want to quit. Contact will be made in Quarter 3 to see if any progress has been made. Q3 After speaking with our contact from Human Resources, no progress was being made at this time. Q4 The Human Resource Ma88ger is still not ready to move further in cessation classes at this time, but the Human Resource Specialist provided the Health Educator with a potential new business to conduct the survey with.","At their request, 880 Quit Tips flyers were recently prepared so they could be inserted into their employees' pay check envelopes. We will offer to assist with organizing an event for the Great American Smokeout; the different cessation resources can be promoted. Q2 The Health Educator will call to arrange a meeting to assess the status of moving towards offering cessation resources to employees. Q3 Since there was very little response to the ""3 Ways to Quit"" flyers that were included with their pay stubs, in Quarter 4, we will provide the contact with the newest information on e-cigarettes. Q4 The new e-cigarette and cessation ""Quit Smoking Now"" information was sent to the Human Resource Specialist. In Quarter 1 of the new grant year, the Health Educator plans on contacting the Human Resource Specialist to discuss our next move."
Brevard,               9/16/2013,Jackson Electric,53,2,77,1,1,88,88,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,88,2,2,1,1,1,No,88,88,88,88,1,1,1,No,1,1,1,No,1,1,1,No,"Although the Human Resource Ma88ger was willing to particiate in the survey process, she did not want to pursue offering cessation benefits for their employees at this time. Q2 Contact was made with the Human Resource Ma88ger in Quarter 2; however, she does not want to go any further after assessing her employees' tobacco use. Very few of the employees want to quit smoking. Q3 The Human Resource Ma88ger indicated that there is no interest in moving foward with a cessation policy, but she was willing to promote the ""3 Ways to Quit"". Q4 The Health Educator emailed our contact the AHEC ""Quit Smoking Now"" class schedules to distribute to her employees.","We will offer to assist with organizing an event for the Great American Smokeout; the different cessation resources can be promoted. Q2 An email was sent to the Jackson Electrics Human Resource Ma88ger regarding their participating in the GASO; however, there was no response. We will be sending her the newly acquired Tobacco Free Florida Fact Sheet as a tool to get some active communication re-started. Q3 The Health Educator will continue to provide the flyers which announce the upcoming free classes. Q4 The Health Educator plans on reconnecting with Human Resource Ma88ger in Quarter 1 to continue updating her on the new AHEC classes and to see if she is ready to schedule the two-hour Tools To Quit semi88r."
Brevard,9/20/2013,Avidyne Corporation,75,2,77,1,1,2,4,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,88,77,88,2,88,77,77,3,3,3,Yes,88,88,88,88,2,2,3,No,2,2,3,No,2,2,3,No,"A face to face meeting was held with the Human Resource Ma88ger to complete the survey; they are considering offering their employees access to cessation resources. Q2 They received copies of several work place surveys in Quarter 2 to assess the level of tobacco use among the employees; email and telephone attempts were made to connect with the contact. Q3 There was no response to attempts to stay in touch. Q. 4 As in Quarter 3, there was no response to the attempts to make a connection. ","They may plan to adopt a smoke-free policy for their desig88ted areas; we will offer to assist with organizing an event for the Great American Smokeout; the different cessation resources can be promoted. Q2 An email was sent to Avidyne's Human Resource Ma88ger about the information on GASO, but there was no response. The new Tobacco Free Florida Fact Sheet will be emailed to the contact person prior to calling to arrange a follow up meeting. Q3 The Health Educator will the contact the newest educatio88l information on e-cigarettes in an attempt to encourage communication. Q. 4 Given the fact that there has been no response to numerous email and telephone attempts, we will refrain from making any attempts for the next few months. "
Brevard,11/26/2013,Flounder Pounder Marine,88,2,77,1,2,1,88,3,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,88,2,2,1,1,3,No,88,88,88,88,1,1,3,No,1,1,3,No,1,1,3,No,"Q2 A Face to Face meeting was held with the President to complete the Survey; they are considering making it mandatory for the employees that smoke to go to the free cessation classes throughout the county. Q3 The Health Educator sent the President the newest ""Quit Smoking Now"" class flyer via email to share with his employees. Q.4 There were several face to face conversations regarding the benefits of posting the updated class schedules to continuously provide employees with opportunities to take a free cessation class.",Q2 We will send the new announcments for the AHEC classes to the President so that they can be distributed to the employees and to other business associates around the community. Q3 The President asked the Health Educator for more cessation information to distribute to his employees. A meeting will be scheduled with the President in Quarter 4. Q. 4 Face to face contact with the President was made several times throughout Quarter 4 during Saturday sports activities.  
Brevard,12/5/2013,Rosner Chevrolet,136,2,77,1,1,2,8,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,88,4,88,2,2,2,2,2,Yes,88,88,88,88,2,2,2,Yes,2,2,2,Yes,2,2,2,No,"Q2 The Human Resource Director wants to survey the employees to assess how many of them want to quit; if there is enough interest, they will want to go further with this process. Q3 Contact was made with the Human Resource Director, but no progress has been made regarding having cessation classes on site. Q. 4 As a result of several email contacts, the Director requested information that could be given to the employees who use e-cigarettes. ",Q2 We are going to prepare a few different workplace survey samples for the Human Resource Director so he can create a survey to distribute to employees. Q3 The Health Educator will continue to reach out to this Human Resource Director who requested additio88l information about cessation; the newest flyers regarding upcoming classes will be forwarded. Q. 4 Contact will be made in the first quarter to see if the company is ready to move forward with an onsite cessation class or a Tools to Quit workshop. 
Brevard,12/16/2013,Brevard Alzheimer's Foundation,87,2,8,1,1,2,8,3,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,4,88,2,2,3,3,3,Yes,88,88,88,88,3,3,3,Yes,3,3,3,No,3,3,3,No,"Q2 A meeting was held with the Chief Operating Officer about the ""Quit Smoking Now"" classes through AHEC ; in addtion, an email was sent with information regarding scheduling cessation classes. Different versions of smoke-free grounds policies were also provided so they can begin planning to adobt a smoke-free grounds policy by next year.  Q3 The Health Educator met with the Chief Operating Officer in March for a follow up meeting to assess the progress of their cessation classes and their considering adopting a smoke-free grounds policy. Q. 4 Email contact was made to determine the status; no movement yet. ","Q2 A follow up meeting will be scheduled. Q3 Now that the AHEC cessation classes have been held, the Chief Operating Officer is planning to work with the Owner to try to move forward with a policy change. More educatio88l materials will be made available to the employees while waiting to see if the Owner, who is a smoker, is ready to talk to the Board about a 77% smoke-free grounds policy. Q. 4 The Chief Operating Officer has prepared language for a smoke-free grounds policy."
Brevard,2/20/2014,TD Bank,54,2,99,1,1,2,2,3,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,4,88,2,2,2,2,3,No,88,88,88,88,88,88,88,88,2,2,3,No,2,2,3,No,"Q3 A face to face meeting was held with the Teller Ma88ger and a telephone meeting was held with the Human Resource Ma88ger to complete the Employee Survey and to discuss how to  provide comprehensive cessation coverage to their employees. Q. 4 Although no contact was made during this quarter, this businesses was highlighted in a Q. 4 ad as a business which provided cessation healthcare benefits to their employees. ",Q3  A follow up meeting will be scheduled to discuss more about which components need to be added in order for their current plan to be considered to be comprehensive coverage. Q. 4 The Health Educator will continue to try to provide guidance to this business regarding a more comprehensive benefits package.  
Brevard,2/25/2014,Tuckers Plumbing,52,2,20,1,2,88,88,3,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,4,88,88,88,1,1,4,No,88,88,88,88,88,88,88,88,1,1,4,No,1,1,4,No,"Q3 A face to face meeting was held with the Owner of Tuckers Plumbing to complete the Employee Survey.The Owner is going display the Tobacco Free Florida posters and will distribute the ""3 Ways to Quit"" Palm Cards due to 40% of his employees use tobacco. Q. 4 The Health Educator provided the Owner with the new Quit Smoking Now brochures and the current AHEC class schedules.  ","Q.3 A follow up meeting will be scheduled to discuss more about arranging a ""Tools to Quit"" semi88r as a way to introduce the ""Quit Smoking Now"" classes to his employees. Q. 4 Attempts will be made to arrange for the Tools to Quit semi88r. "
Brevard,3/19/2014,Cancer Care Centers Of Brevard,177,2,77,1,1,2,1,3,1,77,77,77,77,77,77,77,77,77,77,2,1,1,1,1,2,2,77,2,2,1,77,77,3,3,4,No,88,88,88,88,88,88,88,88,3,3,4,No,3,3,4,No,"Q3 A face to face meeting was held with the Network Development Ma88ger of the Cancer Care Center of Brevard, a new Partnership member; the Human Resource Ma88ger was not available to participate and requested that the meeting be held anyway so that the Employee Survey could be completed. Questions left blank by the Network Development Ma88ger were completed on April 11th by the Benefits Ma88ger Q. 4 A meeting was held with the Network Development Ma88ger regarding getting the Quit Smoking Now classes scheduled onsite; the Network Development Ma88ger is in training to be a facilitator.","Q3 A follow up meeting will be scheduled in Quarter 4 to make further recommendations. Q4 Contact will continue to occur until a date is confirmed for the onsite class. If plans for a Flash Mob to be held at the baseball stadium materialize, cessation materials might be distributed; the Network Development Ma88ger is helping to organize the Flash Mob. "
Brevard,5/7/2014,Wells Fargo,74,2,77,1,1,2,1,3,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,2,4,2,2,2,2,2,1,No,88,88,88,88,88,88,88,88,88,88,88,88,2,2,1,No,"Q4 A face to face meeting was held with the Store Branch Ma88ger, and before they are able to promote and add to their cessation coverage they have to schedule an phone conference with corporate.","Q4 A follow up meeting will be scheduled in quarter 1, of the New Grant year. Before the phone conference takes place with corporate the Health Educator will make further recommendations"
Brevard,5/13/2014,Craig Technologies,99,2,99,1,1,2,1,3,1,2,2,2,2,2,2,1,2,1,2,77,77,77,77,77,77,88,77,2,4,2,2,2,2,2,3,Yes,88,88,88,88,88,88,88,88,88,88,88,88,2,2,3,Yes,Q4 A face to face meeting was scheduled with the entire Human Resource team to help them with the process of working toward cessation services and a smoke-free campus policy. ,Q4 A Follow up email with sample smoke- free policies were sent to the Human Resource Ma88ger. We will also be following up with a meeting in Quarter 1 of the New Grant Year to help with setting up cessation classes as their first step towards smoke free campus.
Brevard,5/14/2014,Lexus of Viera,85,2,77,1,1,2,8,3,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,4,2,2,2,2,2,3,No,88,88,88,88,88,88,88,88,88,88,88,88,2,2,3,No,Q4 A face to face meeting was scheduled with the Department Supervisor to help them with the process of working toward cessation servises and a smoke-free desig88ted area policy.,Q4 A folloup email with sample smoke-free policies were sent to the Department Supervisor. We will also be following up with a meeting in Quarter 1 of the new grant year to help with setting up cesstion classes as their first step toward a smoke- free desig88ted area policy.
Broward,12/5/2012,Hollywood Animal Hospital,25,1,77,1,1,77,11,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,2,2,77,1,2,2,No,1,2,2,No,1,2,2,No,1,2,2,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,12/7/2012,Latin Chamber of Commerce,18,1,4,1,77,77,77,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,77,2,2,2,No,2,2,2,No,2,2,2,No,2,2,2,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,12/5/2012,SFL Sports Medicine,65,2,0,1,1,2,12,3,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,1,1,77,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,11/16/2012,Eric W. Reese D.C. PA,2,1,0,1,1,77,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,1,1,77,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,12/19/2012,Y Way,88,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,1,2,77,1,1,2,No,1,1,2,No,1,3,2,Yes,1,3,2,Yes,No progress to report. Grantee has been following up with HR Director and has not received any response as of yet. ,Grantee will continute to try collborating with HR Director to formulate a Tobacco-Free grounds policy.
Broward,11/19/2012,Doctors Express,15,1,77,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,4,2,2,2,1,1,2,77,1,1,2,No,1,1,2,No,1,1,2,No,1,1,2,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,2/8/2013,Devry University,77,77,77,77,77,77,77,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,1,3,2,77,77,2,3,4,77,2,3,4,No,2,3,4,No,2,3,4,No,2,3,4,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,3/5/2013,Midtown Manor Healthcare,77,77,77,1,77,77,77,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,1,3,2,77,77,1,1,1,77,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,2/28/2013,Slacker Bar&Grill ,77,77,77,1,2,88,88,3,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,3,3,4,77,3,4,4,Yes,3,4,4,Yes,3,4,4,No,3,4,4,No,"Since baseline interview the employer has decided to adopt a smoke-free workplace policy. Also, interest was shown in having AHEC conduct sessions for employees. ",Employer has received information about AHEC; Grantee will follow-up with the progress of cessation services in future quarters. 
Broward,6/4/2013,Bravo Awards,77,77,77,2,77,77,77,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,1,4,2,77,77,1,2,1,77,1,2,1,No,1,2,1,No,1,2,1,No,1,2,1,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,6/21/2013,Catholic Housing Management,77,77,77,1,77,77,77,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,1,3,2,77,77,1,1,1,Yes,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,6/7/2013,ARCPoint Labs of Cooper City ,77,77,77,2,77,77,77,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,1,2,1,77,77,2,3,2,77,2,4,2,No,2,4,2,No,2,4,2,No,2,4,2,No,Since baseline interview the employer has decided to adopt and implement a smoke-free workplace policy employees. Grantee presented this employer with a plaque in recognition of adopting a smoke-free policy. ,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,6/7/2013,Food for the Poor,360,2,30,1,1,77,1,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,77,3,2,77,77,5,5,5,Yes,5,5,5,No,5,5,5,No,5,5,5,No,5,5,5,No,No progress to report; no contact was made.,Will continue to try to follow up with employer to explore new opportunites and progress since baseline interview. 
Broward,7/9/2013,Early Learning Coalition,15,1,2,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,Yes,88,88,88,88,1,1,2,Yes,1,1,2,No,1,1,2,No,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,7/17/2013,City of Miramar,875,2,88,1,1,2,9,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,3,2,2,2,3,5,3,Yes,88,88,88,88,3,5,3,Yes,3,5,3,No,3,5,3,No,No progress to report; Grantee attempted to reach out to this employer but was unsucessful. ,Willl continue to try to followup with Human Resources Department to check the status of policy addendum. 
Broward,8/6/2013,City of Fort Lauderdale ,2500,2,77,1,1,2,7,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,4,2,2,2,5,2,3,Yes,88,88,88,88,5,2,3,Yes,5,2,5,Yes,5,2,5,Yes,Grantee has been informed by Wellness Coordi88tor that this municipality would like to move forward with adopting a formal smoke free workplace policy. Beginning stages of development has begun. ,Grantee will continue working with grantee in the development of smoke-free grounds policy. 
Broward,10/3/2013,Southern Auto Finance Company,160,2,116,1,1,2,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,3,Yes,88,88,88,88,88,88,88,88,1,2,3,No,1,2,3,No,No progress to report; Grantee attempted to reach out to this employer but was unsucessful. ,Will follow up with wellness coordi88tor to discuss the formulation of smoke-free workplace policy. . 
Broward,10/29/2013,City of Hollywood,1396,2,77,2,1,1,4,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,3,2,2,2,5,1,4,Yes,88,88,88,88,88,88,88,88,5,1,4,No,5,1,4,No,No progress to report; no contact was made.,Will contact employer to discuss the formulation of a formal tobacco-free grounds policy. Will discuss collaboration for future tobacco holidays. 
Broward,12/13/2013,"Nature's Products, Inc",380,2,38,1,1,2,4,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,3,2,Yes,88,88,88,88,88,88,88,88,1,3,4,Yes,1,3,4,Yes,"Grantee has been trying to contact wellness coordi88tor, but no avail. ",Grantee will continue contacting Wellness Coordi88tor and trying to strengthen this collaboration. 
Broward,1/23/2014,City of Plantation ,900,2,30,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,4,2,1,2,1,1,5,Yes,88,88,88,88,88,88,88,88,88,88,88,88,1,1,5,Yes,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,2/6/2014,City of Tamarac,380,2,77,1,1,1,7,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,4,2,2,2,1,1,3,Yes,88,88,88,88,88,88,88,88,88,88,88,88,1,1,3,Yes,No progress to report; no contact was made. AHEC has attempted to provide cessation services but to avail.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,3/18/2014,City of Wilton Manors,125,2,10,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,4,2,1,2,1,1,1,Yes,88,88,88,88,88,88,88,88,88,88,88,88,1,1,1,Yes,No progress to report; no contact was made.,Grantee will attempt to contact employer in future quarters to follow-up and offer support for tobacco-free grounds and employer cessation coverage.
Broward,5/13/2014,ISS Global Marine Travel ,18,1,2,1,1,2,11,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,3,2,77,77,1,1,1,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Baseline data was collected in Quarter 4; no stage of change to report in Quarter 4. ,Employer was not interested in any futher assistance at the time. Grantee will follow up in future quarters to offer support in the event of a climate change with the business.
Broward,5/28/2014,City of Lauderdale Lakes,95,2,8,1,1,2,11,1,1,77,77,77,77,77,77,77,77,77,77,1,1,77,77,1,77,77,77,77,3,2,77,77,1,1,2,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Baseline data was collected in Quarter 4; no stage of change to report in Quarter 4. ,Employer was interested in receiving information regarding tobacco holidays. Grantee will utilize this time to reengage employer in order to strengthen their infasturcture. 
Broward,6/2/2014,NYY Broward,47,1,5,1,1,2,9,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,3,2,77,77,1,1,4,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Baseline data was collected in Quarter 4; no stage of change to report in Quarter 4. ,"Employer was not interested in any futher assistance at the time. However, this employer wanted additio88l information about tobacco observances. Grantee will use this opportunity to engage employer in the future. "
Broward,6/16/2014,Brown & Brown Insurance ,130,2,77,1,1,1,4,3,1,2,2,2,2,2,2,2,2,2,2,1,77,77,77,1,77,2,2,77,1,1,2,2,1,5,5,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Baseline data was collected in Quarter 4; no stage of change to report in Quarter 4. ,Employer invited grantee to participate in their annual wellness fair. Grantee will use this opportunity to ree88ge employer and offer additio88l support. 
Broward,6/17/2014,Hollywood Beach Marriott,175,2,77,1,1,2,2,3,77,77,77,77,77,77,77,77,77,77,77,2,2,2,2,2,2,2,77,77,1,2,77,77,1,3,3,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Baseline data was collected in Quarter 4; no stage of change to report in Quarter 4. ,This employer is interested in formulating a smoke-free workplace. Grantee will work closely with this employer in the development and implementation of this policy. 
Calhoun,9/12/2012,ALCO Stores,11,1,6,1,1,99,12,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,1,2,No,1,1,2,No,1,1,2,No,1,1,3,No,1,1,3,No,Face-to-face contact made with this employer in the 4th quarter.  The ma88ger was interested in receiving more education and information on electronic cigarettes as it becomes available to me.  ,I am working on gathering some BTFF approved educatio88l materials on electronic cigarettes for this employer as the ma88ger has requsted this.  Several ALCO employees are currently using e-cigs.
Calhoun,9/25/2012,Subway,14,1,6,1,2,99,99,3,88,99,99,99,77,99,99,99,99,77,77,99,2,2,2,77,77,2,77,1,3,1,77,77,1,1,1,No,1,1,1,No,1,1,2,No,1,1,2,No,1,1,3,No,Face-to-face contact made with this employer in the 4th quarter.  Ma88ger was interupted with work related matters shortly after we began our discussion so it was cut short.  She just told me to stay in touch and she would love to possible check into referalls for interested employees to the iquit classes.,Will follow up soon with contact information for James Lewis our AHEC representative as well as wil flyers with dates for upcoming iquit classes.
Calhoun,4/8/1900,Calhoun- Liberty Hospital,170,2,99,1,1,99,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,5,5,No,1,5,5,Yes,1,5,5,No,1,5,5,No,1,5,5,Yes,Phone calls made to employer with information about the local iQuit classes offered at the Calhoun Liberty Hospital monthly.  This employer continutes to promote 3 ways to quit.   They are a 77% tobacco free facility.  This policy includes prohibiting ecigarettes inside the establishment.  One referall was made to AHEC for this quarter.,A hospital administrative employee is a member of our Calhoun County Tobacco Free Partnership and is assisting in the workplan towards achieving our goals.
Calhoun,11/9/2012,Ramsey's Piggly Wiggly ,77,2,99,1,1,99,11,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,1,1,2,No,1,1,2,No,1,1,2,No,1,1,2,Yes,1,1,2,No,Message left for employer this quarter.   They are a tobacco free indoor facility as well as having smoking restrictions outdoors in front of the doors.  This policy includes prohibiting ecigarettes inside the establishment.,"With this being a larger employer, I am interested in organizing an Iquit class at their establishment for employees.  "
Calhoun,2/21/2013,Calhoun County Sheriff's Office,28,1,5,1,1,99,5,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,No,1,1,2,No,1,1,2,No,1,1,2,No,1,1,2,Yes,One referall made to AHEC from the Sheriff's Office this quarter.  Spoke to staff at the Sheriff's office about  possibly doing another partnership in the future to help with promoting employer cessation at a community event.,Plan to continue collarboration with the sheriff and other Sheriff's Department staff about a future partnership for community wide activities to promote ECC.
Calhoun,3/18/2013,Calhoun Co. Sr. Citizens,19,1,99,1,1,99,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,1,1,2,No,1,1,2,No,1,1,2,No,1,1,2,No,1,1,2,No,Message left for employer this quarter.  No verbal contact was made.,Will plan for a face-to-face meeting in the near future to evaluate.
Calhoun,5/22/2013,Family Dollar,6,1,3,1,1,99,4,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,77,2,2,1,3,2,No,1,3,2,No,1,3,2,No,1,5,3,No,1,5,3,No,Phone calls made to employer this quarter.  They were excited to talk about their new policy and becoming tobacco free!,"This business has went 77% Tobacco Free on January 1, 2014!"
