"","mosquito","site1","site2","site3","site4","site5","site6","code","nTraps","date","site7","site8","site9","site10"
"886","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-07-07,NA,NA,NA,NA
"887","C.  salinarius",NA,1,NA,NA,1,3,23,6,2008-07-07,NA,NA,NA,NA
"888","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-07-07,NA,NA,NA,NA
"889","Culiseta  melanura",7,NA,1,NA,NA,2,41,6,2008-07-07,NA,NA,NA,NA
"890","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2008-07-07,NA,NA,NA,NA
"891","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-07-07,NA,NA,NA,NA
"892","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-07-07,NA,NA,NA,NA
"893","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-07-07,NA,NA,NA,NA
"894","P. columbiae",NA,3,NA,NA,NA,NA,50,6,2008-07-07,NA,NA,NA,NA
"895","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2008-07-07,NA,NA,NA,NA
"896","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-07-07,NA,NA,NA,NA
"897","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-07-07,NA,NA,NA,NA
"898","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-07-07,NA,NA,NA,NA
"899","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-07-07,NA,NA,NA,NA
"900","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-07-07,NA,NA,NA,NA
"901","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-07-07,NA,NA,NA,NA
"902","Aedes albopictus",NA,NA,1,2,1,NA,2,6,2009-07-08,NA,NA,NA,NA
"903","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-07-08,NA,NA,NA,NA
"904","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2009-07-08,NA,NA,NA,NA
"905","Ochlerotatus atlanticus",NA,NA,NA,NA,NA,15,9,6,2009-07-08,NA,NA,NA,NA
"906","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-07-08,NA,NA,NA,NA
"907","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2009-07-08,NA,NA,NA,NA
"908","O. infirmatus",NA,2,NA,5,2,35,7,6,2009-07-08,NA,NA,NA,NA
"909","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2009-07-08,NA,NA,NA,NA
"910","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-07-08,NA,NA,NA,NA
"911","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-07-08,NA,NA,NA,NA
"912","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-07-08,NA,NA,NA,NA
"913","Anopheles crucians",NA,NA,7,NA,NA,51,34,6,2009-07-08,NA,NA,NA,NA
"914","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-07-08,NA,NA,NA,NA
"915","Culex  erraticus",NA,5,NA,NA,2,29,25,6,2009-07-08,NA,NA,NA,NA
"916","C. nigrapalpus",NA,9,NA,NA,1,127,42,6,2009-07-08,NA,NA,NA,NA
"917","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-07-08,NA,NA,NA,NA
"918","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-07-08,NA,NA,NA,NA
"919","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2009-07-08,NA,NA,NA,NA
"920","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-07-08,NA,NA,NA,NA
"921","Culiseta  melanura",NA,7,NA,NA,NA,32,41,6,2009-07-08,NA,NA,NA,NA
"922","Coquillettidia  perturbans",NA,NA,13,NA,NA,NA,60,6,2009-07-08,NA,NA,NA,NA
"923","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-07-08,NA,NA,NA,NA
"924","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-07-08,NA,NA,NA,NA
"925","Psorophora  ciliata",NA,NA,2,NA,NA,NA,51,6,2009-07-08,NA,NA,NA,NA
"926","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2009-07-08,NA,NA,NA,NA
"927","P. ferox",NA,NA,3,1,1,NA,52,6,2009-07-08,NA,NA,NA,NA
"928","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-07-08,NA,NA,NA,NA
"929","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-07-08,NA,NA,NA,NA
"930","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-07-08,NA,NA,NA,NA
"931","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-07-08,NA,NA,NA,NA
"932","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-07-08,NA,NA,NA,NA
"933","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-07-08,NA,NA,NA,NA
"934","Aedes albopictus",NA,NA,1,NA,3,NA,2,10,2013-07-10,NA,NA,2,NA
"935","A. aegypti",NA,NA,NA,NA,NA,NA,3,10,2013-07-10,NA,NA,NA,NA
"936","A. vexans",NA,NA,NA,NA,10,NA,1,10,2013-07-10,NA,312,NA,1
"937","Ochlerotatus atlanticus",129,3,1,NA,NA,480,9,10,2013-07-10,NA,NA,NA,52
"938","O. dupreei",NA,NA,NA,NA,NA,NA,18,10,2013-07-10,NA,NA,NA,NA
"939","O. fulvus pallens",NA,NA,NA,NA,NA,8,8,10,2013-07-10,NA,NA,NA,NA
"940","O. infirmatus",NA,NA,1,NA,1,NA,7,10,2013-07-10,NA,160,4,NA
"941","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,10,2013-07-10,NA,NA,NA,NA
"942","O. sollicitans",NA,NA,NA,NA,NA,NA,15,10,2013-07-10,NA,NA,NA,NA
"943","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,10,2013-07-10,NA,NA,NA,NA
"944","O.  triseriatus",NA,NA,NA,1,NA,NA,14,10,2013-07-10,NA,NA,NA,NA
"945","Anopheles crucians",45,NA,NA,NA,NA,184,34,10,2013-07-10,NA,328,6,28
"946","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,10,2013-07-10,NA,NA,NA,NA
"947","Culex  erraticus",29,61,4,NA,NA,NA,25,10,2013-07-10,1,56,12,24
"948","C. nigripalpus",42,3,5,NA,1,112,42,10,2013-07-10,7,296,143,12
"949","C.  quinquefasciatus",NA,4,5,NA,NA,NA,27,10,2013-07-10,NA,NA,2,NA
"950","C. restuans",NA,NA,NA,NA,NA,NA,21,10,2013-07-10,NA,NA,NA,NA
"951","C.  salinarius",NA,NA,NA,NA,NA,NA,23,10,2013-07-10,NA,NA,NA,NA
"952","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,10,2013-07-10,NA,NA,NA,NA
"953","Culiseta  melanura",5,NA,NA,NA,NA,8,41,10,2013-07-10,NA,NA,2,4
"954","Coquillettidia  perturbans",1,1,1,NA,1,NA,60,10,2013-07-10,6,56,NA,1
"955","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,10,2013-07-10,NA,NA,NA,NA
"956","M. dyari",2,NA,NA,NA,NA,NA,48,10,2013-07-10,4,128,20,1
"957","Psorophora  ciliata",2,NA,NA,NA,NA,NA,51,10,2013-07-10,NA,16,NA,1
"958","P. columbiae",32,1,1,NA,NA,272,50,10,2013-07-10,NA,328,2,2
"959","P. ferox",1,NA,1,3,1,8,52,10,2013-07-10,NA,8,NA,16
"960","P. howardii",2,NA,NA,NA,NA,64,54,10,2013-07-10,NA,16,1,NA
"961","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,10,2013-07-10,NA,NA,NA,NA
"962","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,10,2013-07-10,NA,NA,NA,2
"963","U.  lowii",1,NA,NA,NA,NA,NA,71,10,2013-07-10,NA,NA,NA,NA
"964","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,10,2013-07-10,NA,NA,NA,NA
"965","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,10,2013-07-10,NA,NA,NA,NA
"966","Other",NA,NA,NA,NA,NA,NA,100,10,2013-07-10,NA,NA,NA,NA
"967","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2012-07-12,NA,NA,NA,NA
"968","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2012-07-12,NA,NA,NA,NA
"969","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2012-07-12,NA,NA,NA,NA
"970","Ochlerotatus atlanticus",NA,71,NA,68,54,24,9,6,2012-07-12,NA,NA,NA,NA
"971","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2012-07-12,NA,NA,NA,NA
"972","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2012-07-12,NA,NA,NA,NA
"973","O. infirmatus",64,32,NA,100,31,40,7,6,2012-07-12,NA,NA,NA,NA
"974","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2012-07-12,NA,NA,NA,NA
"975","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2012-07-12,NA,NA,NA,NA
"976","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2012-07-12,NA,NA,NA,NA
"977","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2012-07-12,NA,NA,NA,NA
"978","Anopheles crucians",24,27,NA,4,27,16,34,6,2012-07-12,NA,NA,NA,NA
"979","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2012-07-12,NA,NA,NA,NA
"980","Culex  erraticus",NA,NA,NA,NA,NA,NA,25,6,2012-07-12,NA,NA,NA,NA
"981","C. nigrapalpus",1776,591,1648,248,1265,2144,42,6,2012-07-12,NA,NA,NA,NA
"982","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2012-07-12,NA,NA,NA,NA
"983","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2012-07-12,NA,NA,NA,NA
"984","C.  salinarius",NA,NA,80,24,NA,NA,23,6,2012-07-12,NA,NA,NA,NA
"985","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2012-07-12,NA,NA,NA,NA
"986","Culiseta  melanura",NA,16,NA,12,NA,NA,41,6,2012-07-12,NA,NA,NA,NA
"987","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2012-07-12,NA,NA,NA,NA
"988","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2012-07-12,NA,NA,NA,NA
"989","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2012-07-12,NA,NA,NA,NA
"990","Psorophora  ciliata",8,NA,NA,NA,NA,NA,51,6,2012-07-12,NA,NA,NA,NA
"991","P. columbiae",8,NA,NA,4,4,NA,50,6,2012-07-12,NA,NA,NA,NA
"992","P. ferox",NA,8,NA,4,21,24,52,6,2012-07-12,NA,NA,NA,NA
"993","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2012-07-12,NA,NA,NA,NA
"994","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2012-07-12,NA,NA,NA,NA
"995","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2012-07-12,NA,NA,NA,NA
"996","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2012-07-12,NA,NA,NA,NA
"997","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2012-07-12,NA,NA,NA,NA
"998","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2012-07-12,NA,NA,NA,NA
"999","Aedes albopictus",NA,NA,4,NA,1,NA,2,6,2010-07-13,NA,NA,NA,NA
"1000","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2010-07-13,NA,NA,NA,NA
"1001","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2010-07-13,NA,NA,NA,NA
"1002","Ochlerotatus atlanticus",37,45,27,22,1,226,9,6,2010-07-13,NA,NA,NA,NA
"1003","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2010-07-13,NA,NA,NA,NA
"1004","O. fulvus pallens",NA,NA,NA,NA,NA,15,8,6,2010-07-13,NA,NA,NA,NA
"1005","O. infirmatus",49,33,58,35,3,115,7,6,2010-07-13,NA,NA,NA,NA
"1006","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2010-07-13,NA,NA,NA,NA
"1007","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2010-07-13,NA,NA,NA,NA
"1008","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2010-07-13,NA,NA,NA,NA
"1009","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2010-07-13,NA,NA,NA,NA
"1010","Anopheles crucians",32,19,25,NA,NA,73,34,6,2010-07-13,NA,NA,NA,NA
"1011","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2010-07-13,NA,NA,NA,NA
"1012","Culex  erraticus",NA,NA,13,19,NA,59,25,6,2010-07-13,NA,NA,NA,NA
"1013","C. nigrapalpus",29,43,62,39,2,375,42,6,2010-07-13,NA,NA,NA,NA
"1014","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2010-07-13,NA,NA,NA,NA
"1015","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2010-07-13,NA,NA,NA,NA
"1016","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2010-07-13,NA,NA,NA,NA
"1017","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2010-07-13,NA,NA,NA,NA
"1018","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2010-07-13,NA,NA,NA,NA
"1019","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2010-07-13,NA,NA,NA,NA
"1020","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2010-07-13,NA,NA,NA,NA
"1021","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2010-07-13,NA,NA,NA,NA
"1022","Psorophora  ciliata",3,NA,NA,NA,NA,NA,51,6,2010-07-13,NA,NA,NA,NA
"1023","P. columbiae",NA,NA,NA,NA,1,NA,50,6,2010-07-13,NA,NA,NA,NA
"1024","P. ferox",8,NA,NA,3,NA,17,52,6,2010-07-13,NA,NA,NA,NA
"1025","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2010-07-13,NA,NA,NA,NA
"1026","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2010-07-13,NA,NA,NA,NA
"1027","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2010-07-13,NA,NA,NA,NA
"1028","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2010-07-13,NA,NA,NA,NA
"1029","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2010-07-13,NA,NA,NA,NA
"1030","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2010-07-13,NA,NA,NA,NA
"1031","Aedes albopictus",1,NA,4,6,1,NA,2,6,2008-07-14,NA,NA,NA,NA
"1032","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-07-14,NA,NA,NA,NA
"1033","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-07-14,NA,NA,NA,NA
"1034","Ochlerotatus atlanticus",NA,NA,NA,NA,NA,3,9,6,2008-07-14,NA,NA,NA,NA
"1035","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-07-14,NA,NA,NA,NA
"1036","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-07-14,NA,NA,NA,NA
"1037","O. infirmatus",15,NA,4,2,1,1,7,6,2008-07-14,NA,NA,NA,NA
"1038","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-07-14,NA,NA,NA,NA
"1039","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-07-14,NA,NA,NA,NA
"1040","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-07-14,NA,NA,NA,NA
"1041","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-07-14,NA,NA,NA,NA
"1042","Anopheles crucians",NA,NA,NA,NA,NA,6,34,6,2008-07-14,NA,NA,NA,NA
"1043","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-07-14,NA,NA,NA,NA
"1044","Culex  erraticus",3,NA,NA,NA,NA,NA,25,6,2008-07-14,NA,NA,NA,NA
"1045","C. nigrapalpus",NA,NA,NA,NA,NA,NA,42,6,2008-07-14,NA,NA,NA,NA
"1046","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-07-14,NA,NA,NA,NA
"1047","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-07-14,NA,NA,NA,NA
"1048","C.  salinarius",4,1,NA,NA,2,NA,23,6,2008-07-14,NA,NA,NA,NA
"1049","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-07-14,NA,NA,NA,NA
"1050","Culiseta  melanura",NA,NA,NA,NA,NA,1,41,6,2008-07-14,NA,NA,NA,NA
"1051","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2008-07-14,NA,NA,NA,NA
"1052","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-07-14,NA,NA,NA,NA
"1053","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-07-14,NA,NA,NA,NA
"1054","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-07-14,NA,NA,NA,NA
"1055","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2008-07-14,NA,NA,NA,NA
"1056","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2008-07-14,NA,NA,NA,NA
"1057","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-07-14,NA,NA,NA,NA
"1058","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-07-14,NA,NA,NA,NA
"1059","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-07-14,NA,NA,NA,NA
"1060","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-07-14,NA,NA,NA,NA
"1061","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-07-14,NA,NA,NA,NA
"1062","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-07-14,NA,NA,NA,NA
"1063","Aedes albopictus",NA,NA,3,11,1,NA,2,6,2009-07-15,NA,NA,NA,NA
"1064","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-07-15,NA,NA,NA,NA
"1065","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2009-07-15,NA,NA,NA,NA
"1066","Ochlerotatus atlanticus",NA,NA,NA,NA,NA,13,9,6,2009-07-15,NA,NA,NA,NA
"1067","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-07-15,NA,NA,NA,NA
"1068","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2009-07-15,NA,NA,NA,NA
"1069","O. infirmatus",NA,NA,1,3,NA,25,7,6,2009-07-15,NA,NA,NA,NA
"1070","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2009-07-15,NA,NA,NA,NA
"1071","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-07-15,NA,NA,NA,NA
"1072","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-07-15,NA,NA,NA,NA
"1073","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-07-15,NA,NA,NA,NA
"1074","Anopheles crucians",19,1,NA,NA,NA,49,34,6,2009-07-15,NA,NA,NA,NA
"1075","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-07-15,NA,NA,NA,NA
"1076","Culex  erraticus",3,1,NA,NA,NA,35,25,6,2009-07-15,NA,NA,NA,NA
"1077","C. nigrapalpus",15,2,3,NA,4,127,42,6,2009-07-15,NA,NA,NA,NA
"1078","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-07-15,NA,NA,NA,NA
"1079","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-07-15,NA,NA,NA,NA
"1080","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2009-07-15,NA,NA,NA,NA
"1081","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-07-15,NA,NA,NA,NA
"1082","Culiseta  melanura",NA,NA,NA,NA,NA,19,41,6,2009-07-15,NA,NA,NA,NA
"1083","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2009-07-15,NA,NA,NA,NA
"1084","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-07-15,NA,NA,NA,NA
"1085","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-07-15,NA,NA,NA,NA
"1086","Psorophora  ciliata",NA,NA,NA,NA,2,NA,51,6,2009-07-15,NA,NA,NA,NA
"1087","P. columbiae",NA,9,2,NA,3,NA,50,6,2009-07-15,NA,NA,NA,NA
"1088","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2009-07-15,NA,NA,NA,NA
"1089","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-07-15,NA,NA,NA,NA
"1090","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-07-15,NA,NA,NA,NA
"1091","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-07-15,NA,NA,NA,NA
"1092","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-07-15,NA,NA,NA,NA
"1093","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-07-15,NA,NA,NA,NA
"1094","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-07-15,NA,NA,NA,NA
"1095","Aedes albopictus",NA,NA,2,NA,3,NA,2,10,2013-07-17,NA,NA,NA,NA
"1096","A. aegypti",NA,NA,NA,NA,NA,NA,3,10,2013-07-17,NA,NA,NA,NA
"1097","A. vexans",NA,NA,NA,NA,1,8,1,10,2013-07-17,NA,8,NA,NA
"1098","Ochlerotatus atlanticus",264,56,12,3,NA,176,9,10,2013-07-17,NA,20,NA,NA
"1099","O. dupreei",NA,NA,NA,NA,NA,NA,18,10,2013-07-17,NA,NA,NA,NA
"1100","O. fulvus pallens",NA,NA,NA,NA,NA,24,8,10,2013-07-17,NA,NA,NA,NA
"1101","O. infirmatus",NA,NA,NA,NA,3,16,7,10,2013-07-17,2,33,NA,23
"1102","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,10,2013-07-17,NA,NA,NA,NA
"1103","O. sollicitans",NA,NA,NA,NA,NA,NA,15,10,2013-07-17,NA,NA,NA,NA
"1104","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,10,2013-07-17,NA,NA,NA,NA
"1105","O.  triseriatus",NA,4,1,2,NA,NA,14,10,2013-07-17,NA,NA,NA,NA
"1106","Anopheles crucians",96,16,4,NA,NA,216,34,10,2013-07-17,NA,65,4,28
"1107","A. quadrimaculatus",NA,56,2,NA,NA,NA,31,10,2013-07-17,NA,NA,NA,1
"1108","Culex  erraticus",32,128,42,1,NA,200,25,10,2013-07-17,6,8,NA,1
"1109","C. nigripalpus",441,8,19,NA,2,688,42,10,2013-07-17,1,70,436,5
"1110","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,10,2013-07-17,NA,NA,NA,NA
"1111","C. restuans",NA,NA,NA,NA,NA,NA,21,10,2013-07-17,NA,NA,NA,NA
"1112","C.  salinarius",NA,NA,NA,NA,NA,NA,23,10,2013-07-17,NA,NA,NA,NA
"1113","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,10,2013-07-17,NA,NA,NA,NA
"1114","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,10,2013-07-17,NA,NA,NA,NA
"1115","Coquillettidia  perturbans",NA,NA,1,NA,NA,16,60,10,2013-07-17,1,17,NA,2
"1116","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,10,2013-07-17,NA,NA,NA,NA
"1117","M. dyari",NA,NA,NA,NA,NA,120,48,10,2013-07-17,2,24,52,NA
"1118","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,10,2013-07-17,NA,5,NA,NA
"1119","P. columbiae",40,8,NA,NA,NA,72,50,10,2013-07-17,NA,3,NA,NA
"1120","P. ferox",16,4,1,2,1,8,52,10,2013-07-17,NA,5,NA,7
"1121","P. howardii",NA,NA,NA,NA,NA,16,54,10,2013-07-17,NA,NA,NA,NA
"1122","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,10,2013-07-17,NA,NA,NA,NA
"1123","Uranotaenia  sapphirina",NA,4,2,NA,NA,NA,70,10,2013-07-17,NA,NA,NA,NA
"1124","U.  lowii",NA,NA,NA,NA,NA,NA,71,10,2013-07-17,NA,NA,NA,NA
"1125","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,10,2013-07-17,NA,NA,NA,NA
"1126","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,10,2013-07-17,NA,NA,NA,NA
"1127","Other (Cx coronator)",NA,NA,2,2,NA,NA,100,10,2013-07-17,NA,NA,NA,NA
"1128","Aedes albopictus",24,NA,NA,NA,NA,NA,2,6,2012-07-19,NA,NA,NA,NA
"1129","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2012-07-19,NA,NA,NA,NA
"1130","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2012-07-19,NA,NA,NA,NA
"1131","Ochlerotatus atlanticus",224,146,115,NA,248,3904,9,6,2012-07-19,NA,NA,NA,NA
"1132","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2012-07-19,NA,NA,NA,NA
"1133","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2012-07-19,NA,NA,NA,NA
"1134","O. infirmatus",112,135,NA,10,NA,NA,7,6,2012-07-19,NA,NA,NA,NA
"1135","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2012-07-19,NA,NA,NA,NA
"1136","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2012-07-19,NA,NA,NA,NA
"1137","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2012-07-19,NA,NA,NA,NA
"1138","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2012-07-19,NA,NA,NA,NA
"1139","Anopheles crucians",48,112,37,10,48,640,34,6,2012-07-19,NA,NA,NA,NA
"1140","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2012-07-19,NA,NA,NA,NA
"1141","Culex  erraticus",NA,14,28,NA,16,NA,25,6,2012-07-19,NA,NA,NA,NA
"1142","C. nigrapalpus",472,288,437,1138,132,192,42,6,2012-07-19,NA,NA,NA,NA
"1143","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2012-07-19,NA,NA,NA,NA
"1144","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2012-07-19,NA,NA,NA,NA
"1145","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2012-07-19,NA,NA,NA,NA
"1146","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2012-07-19,NA,NA,NA,NA
"1147","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2012-07-19,NA,NA,NA,NA
"1148","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2012-07-19,NA,NA,NA,NA
"1149","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2012-07-19,NA,NA,NA,NA
